mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0036041736602783203,0.00048109126252586515,0.004795265197753906,0.0022242197431378338,gini,4,"{'criterion': 'gini', 'max_depth': 4}",-1.1027289853054474,-0.867189684023145,-1.0424613187252063,-1.2694519915129312,-0.8526055536242205,-1.0268875066381902,0.1553767012947927,1
0.003399658203125,0.000489161938619891,0.00460052490234375,0.0027283867467557373,gini,5,"{'criterion': 'gini', 'max_depth': 5}",-1.6428728652472193,-1.23413928024493,-1.420365702366139,-1.6461716888271045,-1.4193904843723808,-1.472588004211555,0.15591226273198067,3
0.007199907302856445,0.006910920473737711,0.0033994197845458986,0.0008020198923801623,gini,6,"{'criterion': 'gini', 'max_depth': 6}",-1.6401024948792289,-1.2379393852290552,-2.905920282416978,-2.2488953277625754,-1.4284423858770934,-1.8922599752329858,0.6101707267038642,6
0.0035988330841064454,0.0004896138445271776,0.0034012794494628906,0.0008000145564572358,gini,7,"{'criterion': 'gini', 'max_depth': 7}",-2.1950386522611565,-1.414691004448905,-4.408339596008449,-2.9969005475731083,-1.6020837256330718,-2.523410705184938,1.0920696440701634,8
0.003603839874267578,0.000795088772854896,0.003007984161376953,0.0010824059241757895,gini,8,"{'criterion': 'gini', 'max_depth': 8}",-3.701209697072664,-2.1666437751160244,-4.566359646789853,-3.721748880773093,-2.3583417019269275,-3.302860740335712,0.9070483843889484,10
0.005400276184082032,0.0016252893468825997,0.0027994155883789063,0.0007467109214398545,gini,9,"{'criterion': 'gini', 'max_depth': 9}",-4.606428897576991,-3.292722099690408,-4.911026156911255,-4.672993405107981,-3.1316964161562875,-4.122973395088584,0.7522267812562758,12
0.0035989761352539064,0.0004901186544338359,0.0035999774932861327,0.0022448955369820255,gini,10,"{'criterion': 'gini', 'max_depth': 10}",-5.53784541048927,-4.059060971562661,-5.679767755087098,-5.958143531053226,-4.4106089739883965,-5.129085328436131,0.7508440369653294,14
0.004003095626831055,0.0012593956455175207,0.0035943984985351562,0.000796405222113627,entropy,4,"{'criterion': 'entropy', 'max_depth': 4}",-1.2632679229941133,-1.053237423633889,-1.4124582653760915,-1.2442991994727015,-0.863249781289528,-1.1673025185532646,0.19010423500748228,2
0.004006195068359375,0.0019968899405537355,0.0029935359954833983,1.3355186481838768e-05,entropy,5,"{'criterion': 'entropy', 'max_depth': 5}",-1.4480213378011844,-1.2307528916826471,-2.5453402586182565,-1.2552953441024937,-1.4193904843723808,-1.5797600633153928,0.4904083945196243,4
0.005193758010864258,0.0019304312779549187,0.004800081253051758,0.002925581463728485,entropy,6,"{'criterion': 'entropy', 'max_depth': 6}",-1.6431731599936452,-1.238050551571268,-3.100558180116411,-1.6355255953266352,-1.4248322393184547,-1.808427945265283,0.6632165479455313,5
0.003602933883666992,0.0004857878660562937,0.0029969215393066406,6.983670480669408e-06,entropy,7,"{'criterion': 'entropy', 'max_depth': 7}",-2.394852781310128,-1.4019277474854015,-3.2829478450034126,-2.2372881013274246,-1.4346810491253228,-2.1503395048503378,0.6960510953646328,7
0.006001186370849609,0.002279935135584446,0.002599000930786133,0.0007997189214333657,entropy,8,"{'criterion': 'entropy', 'max_depth': 8}",-4.261333889550625,-1.406548135400018,-4.012239776968995,-3.176944411407077,-1.7857891526082805,-2.928571073186999,1.1519364774611434,9
0.004799795150756836,0.0022277086674945806,0.0030027389526367187,0.0006386905884596332,entropy,9,"{'criterion': 'entropy', 'max_depth': 9}",-4.775026156614158,-1.7579091240519886,-4.376603603631405,-4.087208823803858,-2.3465514953097855,-3.468659840682239,1.1915832178917287,11
0.004800224304199218,0.001166408619667976,0.0034000396728515623,0.0013573742177172487,entropy,10,"{'criterion': 'entropy', 'max_depth': 10}",-5.328742408813365,-2.8968414021790854,-4.530368832666478,-5.362757538854855,-2.7426685551906163,-4.17227574754088,1.1448495259594338,13
